model,model_short,regime,coverage,accuracy_mean,accuracy_seed_ci_low,accuracy_seed_ci_high,aurc_mean,ece_raw_mean,ece_calibrated_mean
a0_backbone,A0,combined_ood,0.2,0.9896999999999998,0.9878514178488181,0.9915485821511815,0.2776631855927235,0.044693780193328855,0.05822075059294701
a0_backbone,A0,combined_ood,0.3,0.9113333333333333,0.902597311075825,0.9200693555908417,0.2776631855927235,0.044693780193328855,0.05822075059294701
a0_backbone,A0,combined_ood,0.5,0.68196,0.6744249676248361,0.689495032375164,0.2776631855927235,0.044693780193328855,0.05822075059294701
a0_backbone,A0,combined_ood,0.7,0.5532571428571429,0.5476125221269736,0.5589017635873121,0.2776631855927235,0.044693780193328855,0.05822075059294701
a0_backbone,A0,combined_ood,0.9,0.468711111111111,0.4642816282692597,0.4731405939529623,0.2776631855927235,0.044693780193328855,0.05822075059294701
a0_backbone,A0,combined_ood,1.0,0.43338,0.4289417370677967,0.4378182629322033,0.2776631855927235,0.044693780193328855,0.05822075059294701
a0_backbone,A0,clean_retention,0.1,1.0,1.0,1.0,0.19124847438664072,0.09776033625513315,0.11376135160058735
a0_backbone,A0,clean_retention,0.2,0.9997,0.999217170888055,1.0001828291119452,0.19124847438664072,0.09776033625513315,0.11376135160058735
a0_backbone,A0,clean_retention,0.3,0.9968666666666668,0.9956139407552911,0.9981193925780425,0.19124847438664072,0.09776033625513315,0.11376135160058735
a0_backbone,A0,clean_retention,0.5,0.8176399999999999,0.8122167747071255,0.8230632252928743,0.19124847438664072,0.09776033625513315,0.11376135160058735
a0_backbone,A0,clean_retention,0.7,0.6625428571428571,0.6563095352893233,0.6687761789963909,0.19124847438664072,0.09776033625513315,0.11376135160058735
a0_backbone,A0,clean_retention,0.9,0.5676444444444444,0.5619322952192836,0.5733565936696052,0.19124847438664072,0.09776033625513315,0.11376135160058735
a0_backbone,A0,clean_retention,1.0,0.5267199999999999,0.5218573500672896,0.5315826499327101,0.19124847438664072,0.09776033625513315,0.11376135160058735
a5_vimd_full,A5-VIMD,hard_interference,0.1,0.9938,0.9918394637921931,0.9957605362078069,0.24464514793030467,0.04966037522241472,0.06512992870762943
a5_vimd_full,A5-VIMD,hard_interference,0.2,0.9850000000000001,0.9817479441793125,0.9882520558206876,0.24464514793030467,0.04966037522241472,0.06512992870762943
a5_vimd_full,A5-VIMD,hard_interference,0.3,0.9439333333333334,0.9340941134048218,0.953772553261845,0.24464514793030467,0.04966037522241472,0.06512992870762943
a5_vimd_full,A5-VIMD,hard_interference,0.5,0.7385200000000001,0.7292008886597581,0.7478391113402421,0.24464514793030467,0.04966037522241472,0.06512992870762943
a5_vimd_full,A5-VIMD,hard_interference,0.7,0.5982571428571428,0.5892530204168563,0.6072612652974293,0.24464514793030467,0.04966037522241472,0.06512992870762943
a5_vimd_full,A5-VIMD,hard_interference,0.9,0.5069111111111111,0.4991209663569996,0.5147012558652226,0.24464514793030467,0.04966037522241472,0.06512992870762943
a5_vimd_full,A5-VIMD,hard_interference,1.0,0.47104000000000007,0.4633042015827445,0.47877579841725565,0.24464514793030467,0.04966037522241472,0.06512992870762943
a5_vimd_full,A5-VIMD,id_test,0.1,1.0,1.0,1.0,0.1605840178603252,0.02808369000315667,0.028268744554072616
a5_vimd_full,A5-VIMD,id_test,0.2,0.9996,0.9992305912822017,0.9999694087177984,0.1605840178603252,0.02808369000315667,0.028268744554072616
a5_vimd_full,A5-VIMD,id_test,0.3,0.9944000000000001,0.9929569749633396,0.9958430250366606,0.1605840178603252,0.02808369000315667,0.028268744554072616
a5_vimd_full,A5-VIMD,id_test,0.5,0.86152,0.8559816610244104,0.8670583389755895,0.1605840178603252,0.02808369000315667,0.028268744554072616
a5_vimd_full,A5-VIMD,id_test,0.7,0.7239714285714286,0.7200619148104668,0.7278809423323904,0.1605840178603252,0.02808369000315667,0.028268744554072616
a5_vimd_full,A5-VIMD,id_test,0.9,0.6243555555555556,0.6207968133011371,0.627914297809974,0.1605840178603252,0.02808369000315667,0.028268744554072616
a5_vimd_full,A5-VIMD,id_test,1.0,0.5799,0.5762002221541312,0.5835997778458687,0.1605840178603252,0.02808369000315667,0.028268744554072616
a5_vimd_full,A5-VIMD,combined_ood,0.1,0.9987999999999999,0.9977996364631997,0.9998003635368001,0.2457879860671502,0.05289288925349713,0.06711302445530892
a5_vimd_full,A5-VIMD,combined_ood,0.2,0.9972,0.9964611825644034,0.9979388174355965,0.2457879860671502,0.05289288925349713,0.06711302445530892
a5_vimd_full,A5-VIMD,combined_ood,0.3,0.9524666666666667,0.9458163596888661,0.9591169736444672,0.2457879860671502,0.05289288925349713,0.06711302445530892
a5_vimd_full,A5-VIMD,combined_ood,0.5,0.73144,0.7278024963004621,0.7350775036995378,0.2457879860671502,0.05289288925349713,0.06711302445530892
a5_vimd_full,A5-VIMD,combined_ood,0.7,0.593857142857143,0.5893397588101915,0.5983745269040944,0.2457879860671502,0.05289288925349713,0.06711302445530892
a5_vimd_full,A5-VIMD,combined_ood,0.9,0.5014444444444444,0.4969094370729943,0.5059794518158944,0.2457879860671502,0.05289288925349713,0.06711302445530892
a5_vimd_full,A5-VIMD,combined_ood,1.0,0.46421999999999997,0.4600583685456689,0.46838163145433104,0.2457879860671502,0.05289288925349713,0.06711302445530892
a5_vimd_full,A5-VIMD,clean_retention,0.1,1.0,1.0,1.0,0.16620989098660957,0.11739809471473098,0.1381145836177468
a5_vimd_full,A5-VIMD,clean_retention,0.2,0.9999,0.9996737842837146,1.0001262157162853,0.16620989098660957,0.11739809471473098,0.1381145836177468
a5_vimd_full,A5-VIMD,clean_retention,0.3,0.9982,0.9961512211762608,1.0002487788237393,0.16620989098660957,0.11739809471473098,0.1381145836177468
a5_vimd_full,A5-VIMD,clean_retention,0.5,0.8552800000000002,0.8496504244516663,0.860909575548334,0.16620989098660957,0.11739809471473098,0.1381145836177468
