regime,axis,level_db,model,model_short,row_count,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
hard_interference,snr_db,14.0,iqformer_inspired,IQFormer,610,0.6215484778925978,0.0321622520221841,0.631639344262295,0.0346298945678206
hard_interference,snr_db,18.0,a0_backbone,A0,625,0.5061151687892491,0.0101830071762541,0.55856,0.0092206531463039
hard_interference,snr_db,18.0,a5_vimd_full,A5-VIMD,625,0.5533876727368059,0.0081116317825213,0.59728,0.0102046612443094
hard_interference,snr_db,18.0,cssl_amc_supervised_adaptation,CSSL,625,0.5327542343443564,0.0106067460412465,0.5344,0.0120679557322504
hard_interference,snr_db,18.0,mcldnn_reimplementation,MCLDNN,625,0.5772281664747008,0.0130253290914446,0.60032,0.0087245248199161
hard_interference,snr_db,18.0,iqformer_inspired,IQFormer,625,0.6257811186499397,0.0330152255275061,0.64512,0.0328578351893933
hard_interference,sir_db,-15.0,a0_backbone,A0,1227,0.3193638687434611,0.0082124375611611,0.3541157294213529,0.0061380730930154
hard_interference,sir_db,-15.0,a5_vimd_full,A5-VIMD,1227,0.362131338542489,0.0188396724770544,0.3889160554197229,0.0223618671082627
hard_interference,sir_db,-15.0,cssl_amc_supervised_adaptation,CSSL,1227,0.287565113696563,0.0168033669493229,0.2859820700896495,0.0147023397539298
hard_interference,sir_db,-15.0,mcldnn_reimplementation,MCLDNN,1227,0.264716552011587,0.023468955583118,0.2789731051344743,0.021120296126864
hard_interference,sir_db,-15.0,iqformer_inspired,IQFormer,1227,0.2575507711528328,0.0499939747500434,0.2658516707416463,0.0431234770970995
hard_interference,sir_db,-10.0,a0_backbone,A0,1240,0.3919516354568044,0.0118271035369097,0.4266935483870968,0.0128721062907643
hard_interference,sir_db,-10.0,a5_vimd_full,A5-VIMD,1240,0.4512135659411186,0.014237835113016,0.4852419354838709,0.0156978659975887
hard_interference,sir_db,-10.0,cssl_amc_supervised_adaptation,CSSL,1240,0.3687456586353874,0.009554435667921,0.3678225806451613,0.0097254631798049
hard_interference,sir_db,-10.0,mcldnn_reimplementation,MCLDNN,1240,0.4528498833457156,0.0144293421012302,0.4699193548387096,0.008867301295099
hard_interference,sir_db,-10.0,iqformer_inspired,IQFormer,1240,0.4907578369327123,0.0217701560654203,0.5149193548387097,0.0214624908415333
hard_interference,sir_db,-5.0,a0_backbone,A0,1250,0.4138773552041084,0.0127527443474469,0.45864,0.0151791670097904
hard_interference,sir_db,-5.0,a5_vimd_full,A5-VIMD,1250,0.4545870964948081,0.0046058749069348,0.494,0.0056975628317923
hard_interference,sir_db,-5.0,cssl_amc_supervised_adaptation,CSSL,1250,0.421970419609272,0.0123314199119628,0.4236,0.0110094908551162
hard_interference,sir_db,-5.0,mcldnn_reimplementation,MCLDNN,1250,0.5023072988990198,0.0122590981311717,0.52416,0.012732041819319
hard_interference,sir_db,-5.0,iqformer_inspired,IQFormer,1250,0.5400776254644872,0.0194389650394813,0.5670400000000001,0.019562503816116
hard_interference,sir_db,0.0,a0_backbone,A0,1283,0.4504559024445522,0.0076416725676944,0.4728760717069368,0.0094966748969954
hard_interference,sir_db,0.0,a5_vimd_full,A5-VIMD,1283,0.4887198295871054,0.0085035405646509,0.5134840218238503,0.0084969445875972
hard_interference,sir_db,0.0,cssl_amc_supervised_adaptation,CSSL,1283,0.4748616786378388,0.0120420763551388,0.4690568978955573,0.0097613056939878
hard_interference,sir_db,0.0,mcldnn_reimplementation,MCLDNN,1283,0.5845353138960322,0.0141527214250977,0.5951675759937646,0.008452340895854
hard_interference,sir_db,0.0,iqformer_inspired,IQFormer,1283,0.6176253949886525,0.0178049763274356,0.6258768511301638,0.0168013470659649
unseen_jammer,snr_db,-10.0,a0_backbone,A0,637,0.157633732971134,0.0143752420348506,0.1701726844583987,0.014655751934221
unseen_jammer,snr_db,-10.0,a5_vimd_full,A5-VIMD,637,0.1783072314569252,0.0101568029565397,0.1864992150706436,0.0085281208948041
unseen_jammer,snr_db,-10.0,cssl_amc_supervised_adaptation,CSSL,637,0.1328428780535474,0.0120901892008533,0.1317111459968602,0.0117814964997018
unseen_jammer,snr_db,-10.0,mcldnn_reimplementation,MCLDNN,637,0.1999598111392913,0.0143602498931388,0.2156985871271585,0.0160470654214672
