split,sir_db,snr_db_mean,occupancy_mean,row_count,gain_vs_IQFormer,gain_vs_MCLDNN,gain_vs_CSSL,gain_vs_A0
unseen_jammer,10.0,4.587360382080078,0.09323732554912567,269,-0.20181905234380665,-0.1247320793559625,-0.03329175376515266,0.033953006769607386
unseen_jammer,10.0,4.687747001647949,0.15401005744934082,253,-0.21585698843953485,-0.153361915592284,-0.10822223183487441,0.03980623723826408
unseen_jammer,10.0,4.227106094360352,0.6853682398796082,273,-0.17751061666386397,-0.15532083631510862,-0.07807792888736338,0.04475532338683218
unseen_speed,-10.0,4.358565807342529,9.150242590294511e-07,251,-0.13225204702809482,-0.12584810098146124,-0.07085882133742641,0.044247150664661755
unseen_speed,-10.0,4.262948036193848,0.1354971081018448,251,-0.1116407759857855,-0.1078958932665501,0.033604823873687,0.03429347181863456
unseen_speed,-10.0,2.97478985786438,0.3916289508342743,238,-0.022040377685681584,0.00041703189514472603,0.12365820191310017,0.06285397247451582
unseen_speed,-10.0,3.8339920043945312,0.8073506355285645,253,0.038111659641159513,0.12041780555050505,0.2273561123646405,0.08526293574524627
unseen_speed,-5.0,3.5094339847564697,6.544016173393175e-07,265,-0.1514745617531088,-0.1273184424545661,-0.06333894953327622,0.03988894332871233
unseen_speed,-5.0,4.777292728424072,0.14068831503391266,229,-0.1245795281179618,-0.1113913794991854,-0.014090766028514662,0.037626209813151526
unseen_speed,-5.0,2.909747362136841,0.3931325078010559,277,-0.04870249487796202,-0.046887703326486334,0.10831731474044029,0.07043110938281298
unseen_speed,-5.0,4.447999954223633,0.8187494277954102,250,-0.016339933218167763,0.06935911726682466,0.19342345374837294,0.057539424590557074
unseen_speed,0.0,3.8339920043945312,6.647508712376293e-07,253,-0.18250038494417503,-0.14386889682810564,-0.08256206416757798,0.023329285666458692
unseen_speed,0.0,4.30258321762085,0.13969743251800537,271,-0.16450056371660526,-0.14349627577290375,-0.054823036244744786,0.031904601277644426
unseen_speed,0.0,4.087719440460205,0.39208775758743286,228,-0.16105810961438394,-0.12872343234960265,-0.013967657651344228,0.02087298183920478
unseen_speed,0.0,4.163934230804443,0.811474084854126,244,-0.06054964457101486,0.013789069573670853,0.1912000987542736,0.03527587068766405
unseen_speed,5.0,3.0578513145446777,1.1826550689875148e-06,242,-0.21015599740220242,-0.1566118182780502,-0.06000853662924428,0.01871959014505083
unseen_speed,5.0,3.3700788021087646,0.12591207027435303,254,-0.1911894191431828,-0.15028620393198194,-0.036276413036224905,0.03305760748040376
