regime,stratum_type,stratum,candidate,reference,reference_short,row_count,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count
id_test,speed_kmh,120,a5_vimd_full,iqformer_inspired,IQFormer,1273,-0.1283926266104126,-0.150144441429425,-0.1043650427382457,0.0215726310167027,-0.1185388845247447,-0.1401826394344069,-0.0946956009426551,1500,20260812,10
id_test,speed_kmh,150,a5_vimd_full,a0_backbone,A0,1269,0.0640678030649039,0.050439121440085,0.0787961473821158,0.0127272899204811,0.0604412923561859,0.0468873128447596,0.0738002364066193,1500,20260812,10
id_test,speed_kmh,150,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1269,0.0526109665791596,0.0304309226881274,0.0749185779729194,0.0187081771331333,0.0641449960598896,0.0421591804570527,0.0871178092986603,1500,20260812,10
id_test,speed_kmh,150,a5_vimd_full,iqformer_inspired,IQFormer,1269,-0.1374861383881165,-0.1607506989346588,-0.1154286342589586,0.021051101918615,-0.1294720252167061,-0.1522084318360914,-0.1074408983451537,1500,20260812,10
id_test,occupancy_quartile,"Q1 [0.000,0.000]",a5_vimd_full,a0_backbone,A0,1250,0.0471362997454427,0.0212503129465991,0.074406312622307,0.0265790369863284,0.06944,0.049916,0.0882019999999999,1500,20260812,10
id_test,occupancy_quartile,"Q1 [0.000,0.000]",a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1250,0.1076820117457834,0.0767300758616941,0.1396394106430866,0.026967859203544,0.1359199999999999,0.1090739999999999,0.162682,1500,20260812,10
id_test,occupancy_quartile,"Q1 [0.000,0.000]",a5_vimd_full,iqformer_inspired,IQFormer,1250,-0.1000677808176339,-0.1450906475740858,-0.0548357233109781,0.0469203506491058,-0.0969599999999999,-0.125722,-0.0649820000000001,1500,20260812,10
id_test,occupancy_quartile,"Q2 [0.000,0.126]",a5_vimd_full,a0_backbone,A0,1250,0.0410076508483639,0.0261118957460603,0.0540362445442198,0.0122424328916948,0.0389599999999999,0.02488,0.0528419999999999,1500,20260812,10
id_test,occupancy_quartile,"Q2 [0.000,0.126]",a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1250,-0.0649514091250645,-0.0846927312877214,-0.0442534282366627,0.0139918201901217,-0.044,-0.064042,-0.023638,1500,20260812,10
id_test,occupancy_quartile,"Q2 [0.000,0.126]",a5_vimd_full,iqformer_inspired,IQFormer,1250,-0.1925943795245041,-0.2148818329570178,-0.1686198708227521,0.0216029746013706,-0.18056,-0.20344,-0.156396,1500,20260812,10
id_test,occupancy_quartile,"Q3 [0.126,0.454]",a5_vimd_full,a0_backbone,A0,1250,0.0551503634735602,0.0406807001075315,0.0694630902236986,0.0079166186877706,0.05304,0.038156,0.06896,1500,20260812,10
id_test,occupancy_quartile,"Q3 [0.126,0.454]",a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1250,0.0139826411706826,-0.0087206292568581,0.0385321241429533,0.0154104788990537,0.0376,0.01576,0.0622819999999999,1500,20260812,10
id_test,occupancy_quartile,"Q3 [0.126,0.454]",a5_vimd_full,iqformer_inspired,IQFormer,1250,-0.1460076509991118,-0.1685168628158829,-0.1212046383748853,0.0143746802962157,-0.1313599999999999,-0.152842,-0.106758,1500,20260812,10
id_test,occupancy_quartile,"Q4 [0.454,1.000]",a5_vimd_full,a0_backbone,A0,1250,0.0556245221196947,0.0354153625254748,0.0740038092479598,0.0230175513873728,0.05168,0.03216,0.0705639999999999,1500,20260812,10
id_test,occupancy_quartile,"Q4 [0.454,1.000]",a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1250,0.1082831459624803,0.0841970413650317,0.13375438907613,0.0214596645916502,0.12832,0.1041179999999999,0.1529639999999999,1500,20260812,10
id_test,occupancy_quartile,"Q4 [0.454,1.000]",a5_vimd_full,iqformer_inspired,IQFormer,1250,-0.0647136550925345,-0.0913040608842087,-0.0376314174846096,0.0303199270392935,-0.0523199999999999,-0.0776,-0.026118,1500,20260812,10
unseen_speed,jammer_family,tone,a5_vimd_full,a0_backbone,A0,795,0.0426125782172956,0.0239620366210742,0.0613980422973916,0.0191080846002243,0.0415094339622641,0.0223899371069182,0.0605094339622641,1500,20260812,10
unseen_speed,jammer_family,tone,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,795,0.0549130563792903,0.028562084170116,0.0801194935193788,0.0128669262888774,0.0777358490566037,0.0522012578616352,0.1035880503144653,1500,20260812,10
unseen_speed,jammer_family,tone,a5_vimd_full,iqformer_inspired,IQFormer,795,-0.1151240526340501,-0.1402213522498926,-0.0899020074594021,0.0232154900684919,-0.1020125786163521,-0.1267924528301886,-0.0759088050314465,1500,20260812,10
unseen_speed,jammer_family,multitone,a5_vimd_full,a0_backbone,A0,887,0.0481839984623762,0.0318695268183857,0.0636503362875221,0.0139208590578711,0.0446448703494926,0.0282919954904171,0.0604875986471251,1500,20260812,10
unseen_speed,jammer_family,multitone,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,887,0.0298797746508404,0.0044736886369379,0.0540488430234404,0.0120313382793882,0.0441939120631341,0.0194391206313416,0.0700112739571589,1500,20260812,10
unseen_speed,jammer_family,multitone,a5_vimd_full,iqformer_inspired,IQFormer,887,-0.1154921161213908,-0.1415083485679159,-0.0882029084990127,0.0218752983094525,-0.1103720405862457,-0.1357976324689966,-0.0840445321307779,1500,20260812,10
unseen_speed,jammer_family,chirp,a5_vimd_full,a0_backbone,A0,841,0.0286298915974829,0.0101278130107475,0.049085499613263,0.0224473812844831,0.0224732461355529,0.0048692033293697,0.0416171224732461,1500,20260812,10
unseen_speed,jammer_family,chirp,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,841,-0.0195322389181847,-0.0463238505276925,0.0086268661282372,0.0184705312248931,0.0028537455410226,-0.0233680142687277,0.0299078478002377,1500,20260812,10
