model,model_short,regime,coverage,accuracy_mean,accuracy_std
a5_vimd_full,A5-VIMD,hard_interference,0.22,0.9809090909090908,0.006652878303060669
a5_vimd_full,A5-VIMD,hard_interference,0.24,0.9749166666666668,0.008796832342341155
a5_vimd_full,A5-VIMD,hard_interference,0.26,0.9673846153846153,0.009912171838645793
a5_vimd_full,A5-VIMD,hard_interference,0.28,0.9552142857142856,0.012558479983705587
a5_vimd_full,A5-VIMD,hard_interference,0.30000000000000004,0.9439333333333332,0.01375428103950115
a5_vimd_full,A5-VIMD,hard_interference,0.32,0.9279374999999999,0.01300056756239683
a5_vimd_full,A5-VIMD,hard_interference,0.34,0.9101764705882353,0.011784460538708975
a5_vimd_full,A5-VIMD,hard_interference,0.36000000000000004,0.8882222222222221,0.011278978832840299
a5_vimd_full,A5-VIMD,hard_interference,0.38,0.8635789473684211,0.011120094859995171
a5_vimd_full,A5-VIMD,hard_interference,0.4,0.8400500000000001,0.010478682063016229
a5_vimd_full,A5-VIMD,hard_interference,0.42000000000000004,0.8176666666666665,0.012328848441978096
a5_vimd_full,A5-VIMD,hard_interference,0.44,0.7970454545454546,0.014228313448236472
a5_vimd_full,A5-VIMD,hard_interference,0.46,0.776695652173913,0.013951035085691416
a5_vimd_full,A5-VIMD,hard_interference,0.48000000000000004,0.7566249999999999,0.013904782572735959
a5_vimd_full,A5-VIMD,hard_interference,0.5,0.7385200000000001,0.013027219367326424
a5_vimd_full,A5-VIMD,hard_interference,0.52,0.7206923076923077,0.014330099171841743
a5_vimd_full,A5-VIMD,hard_interference,0.54,0.7042962962962963,0.014363708098852188
a5_vimd_full,A5-VIMD,hard_interference,0.56,0.6881071428571428,0.014317474615485763
a5_vimd_full,A5-VIMD,hard_interference,0.5800000000000001,0.6730689655172414,0.01446673990969437
a5_vimd_full,A5-VIMD,hard_interference,0.6,0.659,0.014667508393354895
a5_vimd_full,A5-VIMD,hard_interference,0.62,0.6449677419354838,0.013719014320050392
a5_vimd_full,A5-VIMD,hard_interference,0.64,0.6332187499999999,0.01349756440220484
a5_vimd_full,A5-VIMD,hard_interference,0.66,0.621090909090909,0.013418156877392944
a5_vimd_full,A5-VIMD,hard_interference,0.68,0.6095882352941178,0.01290413593917831
a5_vimd_full,A5-VIMD,hard_interference,0.7000000000000001,0.5982571428571428,0.012586895247549622
a5_vimd_full,A5-VIMD,hard_interference,0.7200000000000001,0.5878888888888888,0.012032905273783506
a5_vimd_full,A5-VIMD,hard_interference,0.74,0.5776486486486486,0.0124494269536681
a5_vimd_full,A5-VIMD,hard_interference,0.76,0.5681315789473684,0.011759261884738715
a5_vimd_full,A5-VIMD,hard_interference,0.78,0.5581794871794872,0.01111469370250564
a5_vimd_full,A5-VIMD,hard_interference,0.8,0.5490750000000001,0.011822794602894133
a5_vimd_full,A5-VIMD,hard_interference,0.8200000000000001,0.5402682926829268,0.011418322198536852
a5_vimd_full,A5-VIMD,hard_interference,0.8400000000000001,0.5315238095238095,0.011577621527403489
a5_vimd_full,A5-VIMD,hard_interference,0.86,0.5233023255813954,0.011427629224512301
a5_vimd_full,A5-VIMD,hard_interference,0.88,0.51475,0.01095866786090275
a5_vimd_full,A5-VIMD,hard_interference,0.9,0.5069111111111111,0.010889871459825529
a5_vimd_full,A5-VIMD,hard_interference,0.92,0.49945652173913035,0.010752631893057599
a5_vimd_full,A5-VIMD,hard_interference,0.9400000000000001,0.49206382978723395,0.01075166544978812
a5_vimd_full,A5-VIMD,hard_interference,0.9600000000000001,0.484875,0.010647534201302234
a5_vimd_full,A5-VIMD,hard_interference,0.98,0.47812244897959183,0.01072321191719594
a5_vimd_full,A5-VIMD,hard_interference,1.0,0.47104000000000007,0.010813900519444615
a5_vimd_full,A5-VIMD,id_test,0.02,1.0,0.0
a5_vimd_full,A5-VIMD,id_test,0.04,1.0,0.0
a5_vimd_full,A5-VIMD,id_test,0.06,1.0,0.0
a5_vimd_full,A5-VIMD,id_test,0.08,1.0,0.0
a5_vimd_full,A5-VIMD,id_test,0.1,1.0,0.0
a5_vimd_full,A5-VIMD,id_test,0.12000000000000001,1.0,0.0
a5_vimd_full,A5-VIMD,id_test,0.13999999999999999,0.9998571428571429,0.00045175395145263103
a5_vimd_full,A5-VIMD,id_test,0.16,0.99975,0.0005270462766947188
a5_vimd_full,A5-VIMD,id_test,0.18,0.9996666666666666,0.0005367176572662521
a5_vimd_full,A5-VIMD,id_test,0.19999999999999998,0.9996,0.0005163977794943227
a5_vimd_full,A5-VIMD,id_test,0.22,0.9991818181818182,0.0009040262963743113
a5_vimd_full,A5-VIMD,id_test,0.24,0.9990833333333334,0.001072236614756596
a5_vimd_full,A5-VIMD,id_test,0.26,0.9983846153846153,0.0014707313230461537
a5_vimd_full,A5-VIMD,id_test,0.28,0.9969285714285714,0.0013903620305387046
a5_vimd_full,A5-VIMD,id_test,0.30000000000000004,0.9944,0.0020172099054062693
a5_vimd_full,A5-VIMD,id_test,0.32,0.9890625000000002,0.0020036858397574314
a5_vimd_full,A5-VIMD,id_test,0.34,0.9815882352941175,0.0031865007461160397
a5_vimd_full,A5-VIMD,id_test,0.36000000000000004,0.9692777777777778,0.004335469558917052
a5_vimd_full,A5-VIMD,id_test,0.38,0.9560526315789474,0.004086250771527043
a5_vimd_full,A5-VIMD,id_test,0.4,0.9416500000000001,0.006173644700571016
a5_vimd_full,A5-VIMD,id_test,0.42000000000000004,0.9276190476190476,0.00843811673650919
a5_vimd_full,A5-VIMD,id_test,0.44,0.912409090909091,0.008332093571691302
a5_vimd_full,A5-VIMD,id_test,0.46,0.8949999999999999,0.00873241023130527
a5_vimd_full,A5-VIMD,id_test,0.48000000000000004,0.8781666666666667,0.008301327426203403
a5_vimd_full,A5-VIMD,id_test,0.5,0.86152,0.007742064037164483
a5_vimd_full,A5-VIMD,id_test,0.52,0.8448076923076921,0.007907772955124365
a5_vimd_full,A5-VIMD,id_test,0.54,0.8280740740740742,0.006808728719100913
a5_vimd_full,A5-VIMD,id_test,0.56,0.8110357142857143,0.0065084325207803466
a5_vimd_full,A5-VIMD,id_test,0.5800000000000001,0.7964482758620689,0.006306250372768048
a5_vimd_full,A5-VIMD,id_test,0.6,0.7836666666666667,0.006687006010369358
