regime,model,model_short,macro_f1_mean,macro_f1_std,parameters,macs,latency_ms_p50,latency_ms_p95,state_dict_megabytes,macro_f1_per_kparameter,macro_f1_per_mmac,pareto_optimal_parameters,pareto_optimal_macs,pareto_optimal_latency_ms_p50
hard_interference,mcldnn_reimplementation,MCLDNN,0.4598705516793524,0.0109447156180639,406070.0,398215808.0,3.7893500411882997,4.117885016603395,1.5557098388671875,0.0011324908308403784,0.0011548274640050262,False,False,True
id_test,a0_backbone,A0,0.510207486958193,0.0067742116240897,8458.0,6275424.0,0.7289500063052401,0.8026250041439197,0.04085826873779297,0.060322474220642346,0.08130247246372403,True,True,True
id_test,a1_single_mask,a1_single_mask,0.5560635437551444,0.0079646351524232,24555.0,35329376.0,1.8480500002624467,2.0187449874356385,0.11079692840576172,0.022645634036047423,0.015739410278719453,True,True,True
id_test,a2_tri_no_teacher,a2_tri_no_teacher,0.5633960190012489,0.0078696637024481,39500.0,41798528.0,3.226500004529953,3.395190001174342,0.18039894104003906,0.014263190354461998,0.013478848322152612,False,False,False
id_test,a3_tri_teacher,A3,0.5654504719164622,0.0095700588641963,39500.0,41798528.0,3.151499986415729,3.24728001432959,0.18039894104003906,0.014315201820669931,0.013527999644304754,True,True,True
id_test,a3p_tri_proportional_teacher,A3p,0.5638450112203761,0.0086760628042904,39500.0,41798528.0,3.2885500113479793,3.4294899785891175,0.18039894104003906,0.014274557246085472,0.013489590141078082,False,False,False
id_test,a4_tri_teacher_mtl,a4_tri_teacher_mtl,0.5650163063524979,0.0071616238141917,39500.0,41798528.0,3.236500022467226,3.4042149753076956,0.18039894104003906,0.014304210287405009,0.013517612542539727,False,False,False
id_test,a5_vimd_full,A5-VIMD,0.5653841419768701,0.0061512886898897,39500.0,41798528.0,3.1720499973744154,3.2669599895598367,0.18039894104003906,0.014313522581692915,0.0135264127477616,False,False,False
id_test,a6_dual_full,A6,0.559160905980628,0.0086976432301688,39442.0,41704800.0,3.1669000163674355,3.3098549931310117,0.1796112060546875,0.014176788854029409,0.013407591116145574,True,True,False
id_test,a7_vimd_no_residual,A7,0.5632609616792575,0.0078394494610013,39500.0,41798528.0,3.2354500144720078,3.3911449660081416,0.18039894104003906,0.014259771181753356,0.013475617171955376,False,False,False
id_test,cssl_amc_supervised_adaptation,CSSL,0.5157635531124077,0.0080901224050243,8631948.0,155329152.0,0.7864499930292368,0.8419099438469857,32.9439582824707,5.975053986798898e-05,0.003320455603288221,False,False,True
id_test,iqformer_inspired,IQFormer,0.687979999728363,0.0156276506441134,354984.0,355574400.0,4.180499992799014,4.334785009268671,1.4190893173217773,0.0019380591793668532,0.0019348412026522802,True,True,True
id_test,mcldnn_reimplementation,MCLDNN,0.6438539081259487,0.0138073833201782,406070.0,398215808.0,3.7893500411882997,4.117885016603395,1.5557098388671875,0.0015855736895755625,0.0016168466826057008,False,False,True
clean_retention,a0_backbone,A0,0.4705435495348229,0.0061670225688148,8458.0,6275424.0,0.7289500063052401,0.8026250041439197,0.04085826873779297,0.05563295690882276,0.07498195333651127,True,True,True
clean_retention,a1_single_mask,a1_single_mask,0.4964157792946743,0.0067858533022874,24555.0,35329376.0,1.8480500002624467,2.0187449874356385,0.11079692840576172,0.020216484597624693,0.014051076908198838,True,True,False
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,0.5001243077986701,0.0026775634109841,39500.0,41798528.0,3.226500004529953,3.395190001174342,0.18039894104003906,0.01266137488097899,0.011965117714161373,False,False,False
clean_retention,a3_tri_teacher,A3,0.4990459854999109,0.002869938761322,39500.0,41798528.0,3.151499986415729,3.24728001432959,0.18039894104003906,0.012634075582276225,0.011939319621492674,False,False,False
clean_retention,a3p_tri_proportional_teacher,A3p,0.4994000917975593,0.0025363615394117,39500.0,41798528.0,3.2885500113479793,3.4294899785891175,0.18039894104003906,0.012643040298672387,0.011947791362355136,False,False,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,0.5003110607641992,0.004250830613578,39500.0,41798528.0,3.236500022467226,3.4042149753076956,0.18039894104003906,0.012666102804156941,0.011969585645795928,False,False,False
clean_retention,a5_vimd_full,A5-VIMD,0.5005032832098469,0.0043319598734982,39500.0,41798528.0,3.1720499973744154,3.2669599895598367,0.18039894104003906,0.012670969195185998,0.011974184430845195,True,True,False
clean_retention,a6_dual_full,A6,0.4988420053432504,0.0054107724150647,39442.0,41704800.0,3.1669000163674355,3.3098549931310117,0.1796112060546875,0.012647482514660777,0.01196126118200424,True,True,False
clean_retention,a7_vimd_no_residual,A7,0.5000228365806734,0.0035567889462833,39500.0,41798528.0,3.2354500144720078,3.3911449660081416,0.18039894104003906,0.012658805989384136,0.011962690087571348,False,False,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,0.5974366438587402,0.0068842371810011,8631948.0,155329152.0,0.7864499930292368,0.8419099438469857,32.9439582824707,6.921226168864086e-05,0.0038462621868864655,False,True,True
clean_retention,iqformer_inspired,IQFormer,0.6918904098787153,0.0090466459767003,354984.0,355574400.0,4.180499992799014,4.334785009268671,1.4190893173217773,0.0019490749157108922,0.0019458386483355249,True,True,True
clean_retention,mcldnn_reimplementation,MCLDNN,0.6414217483505242,0.0100351649997417,406070.0,398215808.0,3.7893500411882997,4.117885016603395,1.5557098388671875,0.0015795841809306875,0.0016107390401501195,False,False,True
combined_ood,a0_backbone,A0,0.4157098814521318,0.0093049944768812,8458.0,6275424.0,0.7289500063052401,0.8026250041439197,0.04085826873779297,0.049149903222053884,0.06624411058952061,True,True,True
combined_ood,a1_single_mask,a1_single_mask,0.4473122233789556,0.0082979449453425,24555.0,35329376.0,1.8480500002624467,2.0187449874356385,0.11079692840576172,0.018216747032333766,0.012661197961123218,True,True,False
combined_ood,a2_tri_no_teacher,a2_tri_no_teacher,0.4520360382607943,0.0076894791802075,39500.0,41798528.0,3.226500004529953,3.395190001174342,0.18039894104003906,0.011443950335716312,0.010814640129451313,False,False,False
combined_ood,a3_tri_teacher,A3,0.4504261864036502,0.0066578762503464,39500.0,41798528.0,3.151499986415729,3.24728001432959,0.18039894104003906,0.011403194592497473,0.010776125570825131,False,False,False
combined_ood,a3p_tri_proportional_teacher,A3p,0.4481631889362616,0.0043869267271849,39500.0,41798528.0,3.2885500113479793,3.4294899785891175,0.18039894104003906,0.011345903517373713,0.010721984968854924,False,False,False
combined_ood,a4_tri_teacher_mtl,a4_tri_teacher_mtl,0.4512211748711624,0.006685099327462,39500.0,41798528.0,3.236500022467226,3.4042149753076956,0.18039894104003906,0.011423320882814239,0.010795145103463032,False,False,False
combined_ood,a5_vimd_full,A5-VIMD,0.4525068123203459,0.0092311885894476,39500.0,41798528.0,3.1720499973744154,3.2669599895598367,0.18039894104003906,0.011455868666337871,0.01082590306338888,True,True,False
combined_ood,a6_dual_full,A6,0.4446951599225915,0.0042220804739087,39442.0,41704800.0,3.1669000163674355,3.3098549931310117,0.1796112060546875,0.011274660512210119,0.010662925129064077,False,False,False
combined_ood,a7_vimd_no_residual,A7,0.4516163163734066,0.0068120940931914,39500.0,41798528.0,3.2354500144720078,3.3911449660081416,0.18039894104003906,0.011433324465149533,0.010804598582356934,False,False,False
combined_ood,cssl_amc_supervised_adaptation,CSSL,0.493691158926388,0.0057200822977186,8631948.0,155329152.0,0.7864499930292368,0.8419099438469857,32.9439582824707,5.719348157871062e-05,0.0031783548198755893,False,True,True
combined_ood,iqformer_inspired,IQFormer,0.6145430702752079,0.0143897100946449,354984.0,355574400.0,4.180499992799014,4.334785009268671,1.4190893173217773,0.0017311852654632546,0.0017283107846774342,True,True,True
combined_ood,mcldnn_reimplementation,MCLDNN,0.5908424898263618,0.010032705327588,406070.0,398215808.0,3.7893500411882997,4.117885016603395,1.5557098388671875,0.0014550262019512937,0.00148372434734274,False,False,True
