regime,snr_db,occupancy_mean,row_count,usable,f1_a5_vimd_full_mean,f1_mcldnn_reimplementation_mean,f1_iqformer_inspired_mean,gain_vs_IQFormer,gain_vs_MCLDNN
s5_severe_r1,14.0,0.15194405067611386,185,True,0.10258291962642685,0.10841552606642327,0.10203794075265293,0.0005449788737739159,-0.005832606439996418
s5_severe_r1,14.0,0.6604701219137106,177,True,0.24450751121008202,0.5846435096711391,0.3614845116617281,-0.11697700045164611,-0.3401359984610571
s5_severe_r1,18.0,0.006911745992250478,199,True,0.4207676091307456,0.6818502912634679,0.5274361731532591,-0.10666856402251346,-0.26108268213272223
s5_severe_r1,18.0,0.10039067565557662,178,True,0.17511667713093743,0.252009147817713,0.20216474331515832,-0.027048066184220898,-0.07689247068677557
s5_severe_r1,18.0,0.15028934914448538,197,True,0.06992895412975268,0.10165085696598383,0.06150482623636257,0.008424127893390115,-0.03172190283623115
s5_severe_r1,18.0,0.6841496852839866,205,True,0.25294570613604594,0.5596924238145717,0.37727037426849874,-0.1243246681324528,-0.3067467176785258
s5_severe_r2,-10.0,0.008682821551509037,170,True,0.16828366222209967,0.10762465191421033,0.11908188319241139,0.04920177902968828,0.06065901030788934
s5_severe_r2,-10.0,0.10153913536583478,212,True,0.08007631540242771,0.07944478280799624,0.05376039502013345,0.02631592038229426,0.0006315325944314665
s5_severe_r2,-10.0,0.15391754014151438,175,True,0.04023308048301403,0.03456909083410868,0.03983421345617432,0.0003988670268397082,0.005663989648905347
s5_severe_r2,-10.0,0.6995350874730669,227,True,0.1084129692438957,0.11155400260815165,0.08565360370868656,0.02275936553520913,-0.00314103336425596
s5_severe_r2,-6.0,0.00760792848196552,215,True,0.215590158225924,0.2513871530218873,0.1724567038465013,0.0431334543794227,-0.035796994795963294
s5_severe_r2,-6.0,0.10178463987967107,191,True,0.10752038440890528,0.12178778271502053,0.07278208306341669,0.034738301345488595,-0.014267398306115245
s5_severe_r2,-6.0,0.15469139331468829,216,True,0.14344646871205416,0.11963659968015687,0.13497172286511497,0.008474745846939191,0.023809869031897288
s5_severe_r2,-6.0,0.7331446740734443,178,True,0.1612670979782057,0.21907287130525305,0.15104280945352094,0.010224288524684766,-0.05780577332704734
s5_severe_r2,-2.0,0.008731641634797756,211,True,0.3137943654934378,0.4640735583640555,0.2882986423220514,0.02549572317138643,-0.1502791928706177
s5_severe_r2,-2.0,0.10087840928855338,193,True,0.11105502435119544,0.17118024961600872,0.08826219947799319,0.02279282487320225,-0.06012522526481329
s5_severe_r2,-2.0,0.152390762948646,208,True,0.07615234546597696,0.0640818579476343,0.050154094621884505,0.025998250844092456,0.012070487518342665
s5_severe_r2,-2.0,0.7229567112282236,188,True,0.17544208047976811,0.40932488116325355,0.24947104654861563,-0.07402896606884751,-0.23388280068348544
s5_severe_r2,2.0,0.008692806229572848,179,True,0.331016330544357,0.5515395936138062,0.3926325795489997,-0.06161624900464274,-0.22052326306944925
s5_severe_r2,2.0,0.10007559655691092,212,True,0.129537915305651,0.20859884743644294,0.1428810273108288,-0.013343112005177793,-0.07906093213079193
s5_severe_r2,2.0,0.15162082184583714,195,True,0.15051316775819584,0.1453555259808818,0.1386639370266591,0.011849230731536736,0.005157641777314037
s5_severe_r2,2.0,0.6795405530034097,213,True,0.17223343215226122,0.47924617450767615,0.28389457520773453,-0.11166114305547331,-0.3070127423554149
s5_severe_r2,6.0,0.007571698228855604,207,True,0.3631858936114304,0.6384221971065653,0.48348208306993923,-0.12029618945850884,-0.27523630349513495
s5_severe_r2,6.0,0.10101081741992961,194,True,0.105389890933102,0.2222020817898002,0.19119512049048207,-0.08580522955738007,-0.1168121908566982
s5_severe_r2,6.0,0.15199496331738263,205,True,0.08100916919321019,0.08314958649631501,0.0777885449835496,0.003220624209660586,-0.0021404173031048246
s5_severe_r2,6.0,0.6872510866881496,221,True,0.23529725563869058,0.5762754131947482,0.3371050847823088,-0.10180782914361819,-0.3409781575560576
