split,model,model_short,modulation,support,f1_mean,f1_std,recall_mean,collapsed_class
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,GMSK,500,0.9355997007427239,0.005085261054379372,0.9395999999999999,False
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,CPFSK,500,0.7995238268043355,0.012043029496832057,0.9186,False
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,4FSK,500,0.8133654291904756,0.01265353579694497,0.741,False
clean_retention,a3_tri_teacher,A3,BPSK,500,0.8443106508966489,0.013722816893116377,0.7894000000000001,False
clean_retention,a3_tri_teacher,A3,PI2BPSK,500,0.7883634894277011,0.023226794385238475,0.9008,False
clean_retention,a3_tri_teacher,A3,QPSK,500,0.007023519889407215,0.004037121428486263,0.0036000000000000003,True
clean_retention,a3_tri_teacher,A3,8PSK,500,0.4157446460152602,0.01615307416845904,0.6838,False
clean_retention,a3_tri_teacher,A3,16QAM,500,0.003171534511362706,0.00313161571348788,0.0016,True
clean_retention,a3_tri_teacher,A3,64QAM,500,0.009368790976816185,0.007830197001741708,0.0048000000000000004,True
clean_retention,a3_tri_teacher,A3,256QAM,500,0.37242996638676196,0.013429299008327783,0.6268,False
clean_retention,a3_tri_teacher,A3,GMSK,500,0.9353685023692524,0.0033351249782029744,0.9348000000000001,False
clean_retention,a3_tri_teacher,A3,CPFSK,500,0.7999523981109183,0.012398604558517013,0.9109999999999999,False
clean_retention,a3_tri_teacher,A3,4FSK,500,0.8147263564149803,0.006501899639225827,0.753,False
clean_retention,a3p_tri_proportional_teacher,A3p,BPSK,500,0.846143651839707,0.006146078943789904,0.7862000000000001,False
clean_retention,a3p_tri_proportional_teacher,A3p,PI2BPSK,500,0.7876451252820608,0.019536392432127694,0.9036000000000002,False
clean_retention,a3p_tri_proportional_teacher,A3p,QPSK,500,0.005442723987454219,0.004514056260213916,0.0028000000000000004,True
clean_retention,a3p_tri_proportional_teacher,A3p,8PSK,500,0.4137980333381468,0.013483364423735258,0.6956000000000001,False
clean_retention,a3p_tri_proportional_teacher,A3p,16QAM,500,0.007433433190489165,0.00934124609759351,0.0038,True
clean_retention,a3p_tri_proportional_teacher,A3p,64QAM,500,0.006264113312545191,0.005270645377147032,0.0032,True
clean_retention,a3p_tri_proportional_teacher,A3p,256QAM,500,0.37581430423816375,0.009487729171396956,0.618,False
clean_retention,a3p_tri_proportional_teacher,A3p,GMSK,500,0.9357914213210801,0.006231808349188193,0.9408,False
clean_retention,a3p_tri_proportional_teacher,A3p,CPFSK,500,0.8007206938305875,0.009483112223927826,0.9176,False
clean_retention,a3p_tri_proportional_teacher,A3p,4FSK,500,0.8149474176353582,0.006774425776053992,0.748,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,BPSK,500,0.8395948377886923,0.01648901519752736,0.7856,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,PI2BPSK,500,0.7941398224270114,0.01589143496652098,0.8985999999999998,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,QPSK,500,0.006943987256209501,0.005039385753265206,0.0036000000000000003,True
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,8PSK,500,0.41336830684494813,0.013682220032157575,0.6872,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,16QAM,500,0.007436777881640299,0.007899941777068507,0.0038,True
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,64QAM,500,0.0042890054431846915,0.0021904051550139356,0.0022000000000000006,True
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,256QAM,500,0.375103046111564,0.014524910510630819,0.628,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,GMSK,500,0.9370805609226144,0.00602109834350158,0.9396000000000001,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,CPFSK,500,0.8059825929116828,0.016209228580903182,0.9092,False
clean_retention,a4_tri_teacher_mtl,a4_tri_teacher_mtl,4FSK,500,0.8191716700544454,0.009742189654742828,0.7598,False
clean_retention,a5_vimd_full,A5-VIMD,BPSK,500,0.8428122769136767,0.010671865291052364,0.7882,False
