regime,stratum_type,stratum,model,model_short,row_count,macro_f1_mean,macro_f1_std
unseen_jammer,target_profile_index,0,cssl_amc_supervised_adaptation,CSSL,1697,0.4866827080886651,0.014137224539183906
unseen_jammer,target_profile_index,0,mcldnn_reimplementation,MCLDNN,1697,0.5893550670248061,0.008868921131717734
unseen_jammer,target_profile_index,0,iqformer_inspired,IQFormer,1697,0.6119222926955368,0.009645314139352879
unseen_jammer,target_profile_index,2,a0_backbone,A0,1711,0.42632653724196745,0.01211937072642074
unseen_jammer,target_profile_index,2,a5_vimd_full,A5-VIMD,1711,0.46642596575171974,0.00936282524554382
unseen_jammer,target_profile_index,2,cssl_amc_supervised_adaptation,CSSL,1711,0.4999493738360175,0.007891980538586975
unseen_jammer,target_profile_index,2,mcldnn_reimplementation,MCLDNN,1711,0.5970682632265325,0.007208048921426651
unseen_jammer,target_profile_index,2,iqformer_inspired,IQFormer,1711,0.6179167208266911,0.013902489640352412
unseen_jammer,target_profile_index,3,a0_backbone,A0,1592,0.4133453479066196,0.010793234140594271
unseen_jammer,target_profile_index,3,a5_vimd_full,A5-VIMD,1592,0.44880678145465336,0.011860099345006089
unseen_jammer,target_profile_index,3,cssl_amc_supervised_adaptation,CSSL,1592,0.5014065281423885,0.010927548931510983
unseen_jammer,target_profile_index,3,mcldnn_reimplementation,MCLDNN,1592,0.5711979070837456,0.010897616342002257
unseen_jammer,target_profile_index,3,iqformer_inspired,IQFormer,1592,0.5870451537260776,0.012775825414702312
unseen_jammer,speed_kmh,0,a0_backbone,A0,1201,0.4088305430842757,0.010891628147752517
unseen_jammer,speed_kmh,0,a5_vimd_full,A5-VIMD,1201,0.43571336502110813,0.009374659456633327
unseen_jammer,speed_kmh,0,cssl_amc_supervised_adaptation,CSSL,1201,0.5024532547363908,0.014936639549026519
unseen_jammer,speed_kmh,0,mcldnn_reimplementation,MCLDNN,1201,0.5566740478862012,0.011300006766985692
unseen_jammer,speed_kmh,0,iqformer_inspired,IQFormer,1201,0.5863260617791042,0.01193109825906347
unseen_jammer,speed_kmh,60,a0_backbone,A0,1278,0.41913765321496654,0.010252311385556705
unseen_jammer,speed_kmh,60,a5_vimd_full,A5-VIMD,1278,0.4613964442651691,0.010986932624390074
unseen_jammer,speed_kmh,60,cssl_amc_supervised_adaptation,CSSL,1278,0.49858299110413923,0.0074300865388834255
unseen_jammer,speed_kmh,60,mcldnn_reimplementation,MCLDNN,1278,0.5943128441649908,0.005602798468089443
unseen_jammer,speed_kmh,60,iqformer_inspired,IQFormer,1278,0.6165542017556354,0.012100796772953521
unseen_jammer,speed_kmh,120,a0_backbone,A0,1261,0.41363357451564997,0.010642499996746138
unseen_jammer,speed_kmh,120,a5_vimd_full,A5-VIMD,1261,0.45275288566791155,0.010596228890139382
