regime,axis,level_db,model,model_short,row_count,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
heldout_channel,snr_db,6.0,cssl_amc_supervised_adaptation,CSSL,632,0.6125148296823474,0.016336891915479657,0.6145569620253164,0.017207354260466524
heldout_channel,snr_db,6.0,mcldnn_reimplementation,MCLDNN,632,0.6804155508439083,0.015580950605689727,0.6917721518987342,0.010112287730976272
heldout_channel,snr_db,6.0,iqformer_inspired,IQFormer,632,0.7335909475786131,0.016541781164162474,0.7392405063291139,0.014876783890560966
heldout_channel,snr_db,10.0,a0_backbone,A0,639,0.5626558279613909,0.008065193177458397,0.5921752738654147,0.007494328636856727
heldout_channel,snr_db,10.0,a5_vimd_full,A5-VIMD,639,0.5997228948455375,0.017053193821072423,0.6250391236306729,0.015911559163940645
heldout_channel,snr_db,10.0,cssl_amc_supervised_adaptation,CSSL,639,0.6260396163602936,0.011559021512136605,0.6355242566510173,0.01195132821698156
heldout_channel,snr_db,10.0,mcldnn_reimplementation,MCLDNN,639,0.6803207304779557,0.01597601283004476,0.7017214397496087,0.011361880763744987
heldout_channel,snr_db,10.0,iqformer_inspired,IQFormer,639,0.7398221979556651,0.023832748416445643,0.7533646322378718,0.02116633014571227
heldout_channel,snr_db,14.0,a0_backbone,A0,570,0.5528740624198087,0.015211872792843393,0.5687719298245614,0.01611745133734154
heldout_channel,snr_db,14.0,a5_vimd_full,A5-VIMD,570,0.5970468977768169,0.013943993202775512,0.6114035087719298,0.014138265969282538
heldout_channel,snr_db,14.0,cssl_amc_supervised_adaptation,CSSL,570,0.6266137306842501,0.009331666149890462,0.6187719298245614,0.009285179682994514
heldout_channel,snr_db,14.0,mcldnn_reimplementation,MCLDNN,570,0.6986168135267391,0.012947254063953804,0.7033333333333334,0.01539356359690735
heldout_channel,snr_db,14.0,iqformer_inspired,IQFormer,570,0.7442379890059028,0.01834581120550452,0.7482456140350877,0.018917925286107386
heldout_channel,snr_db,18.0,a0_backbone,A0,635,0.5566840566819713,0.008217211428495574,0.6069291338582677,0.01206664190084588
heldout_channel,snr_db,18.0,a5_vimd_full,A5-VIMD,635,0.6000064496818172,0.012258216448196859,0.6503937007874014,0.012793761267143254
heldout_channel,snr_db,18.0,cssl_amc_supervised_adaptation,CSSL,635,0.6503188913427705,0.014849832134887839,0.6593700787401575,0.013301675687347607
heldout_channel,snr_db,18.0,mcldnn_reimplementation,MCLDNN,635,0.7003697907639548,0.012169052900396903,0.7245669291338583,0.0058665967752014655
heldout_channel,snr_db,18.0,iqformer_inspired,IQFormer,635,0.7626755298394945,0.020476439509992433,0.778740157480315,0.01946154846395447
heldout_channel,sir_db,-10.0,a0_backbone,A0,1004,0.4060325745724275,0.0075527028312093614,0.4455179282868526,0.009565556459110353
heldout_channel,sir_db,-10.0,a5_vimd_full,A5-VIMD,1004,0.4618544751383826,0.01277377724766475,0.4995019920318725,0.01558127494058075
heldout_channel,sir_db,-10.0,cssl_amc_supervised_adaptation,CSSL,1004,0.40498614935000044,0.009616114323082979,0.4061752988047808,0.008317379160755254
heldout_channel,sir_db,-10.0,mcldnn_reimplementation,MCLDNN,1004,0.47719819458272195,0.01181600488246989,0.4956175298804781,0.009203196832673908
